image_key,receipt_id,transaction_date,customer_id,item_rows,units,receipt_total_clean,receipt_total_source,amount_paid_bhd,current_outstanding_bhd,final_payment_status
receipt-180,501,2025-03-09,CUST-170,1,1.0,38.0,Receipt,38.0,0.0,Paid
receipt-183,502,2025-03-09,CUST-173,1,1.0,38.0,Receipt,38.0,0.0,Paid
receipt-185,503,2025-03-09,CUST-175,1,1.0,36.0,Receipt,36.0,0.0,Paid
receipt-187,504,2025-03-09,CUST-177,1,1.0,29.0,Receipt,29.0,0.0,Paid
receipt-190,505,2025-03-14,CUST-180,1,1.0,,Missing,,,Unknown
receipt-193,506,2025-03-09,CUST-183,1,1.0,1.5,Receipt,1.5,0.0,Paid
receipt-195,507,2025-03-10,CUST-185,1,1.0,39.0,Receipt,39.0,0.0,Paid
receipt-177,508,2025-03-10,CUST-167,1,1.0,28.0,Receipt,28.0,0.0,Paid
receipt-192,509,2025-03-10,CUST-182,1,1.0,42.0,Receipt,42.0,0.0,Paid
receipt-199,510,2025-03-10,CUST-189,1,1.0,39.0,Receipt,39.0,0.0,Paid
receipt-175,511,2025-03-10,CUST-165,1,1.0,38.0,Receipt,38.0,0.0,Paid
receipt-204,512,2025-03-10,CUST-194,4,,140.0,Receipt,,,Unknown
receipt-194,513,,CUST-184,2,2.0,,Missing,,,Unknown
receipt-86,514,2025-03-11,CUST-080,1,1.0,39.0,Receipt,39.0,0.0,Paid
receipt-169,515,2025-03-11,CUST-159,1,1.0,25.0,Receipt,25.0,0.0,Paid
receipt-201,516,2025-03-12,CUST-191,1,1.0,38.0,Receipt,38.0,0.0,Paid
receipt-198,517,2025-03-12,CUST-188,1,1.0,29.5,Receipt,29.5,0.0,Paid
receipt-172,518,2025-03-15,CUST-162,1,1.0,39.0,Receipt,39.0,0.0,Paid
receipt-209,519,2025-03-15,CUST-199,1,1.0,6.0,Receipt,6.0,0.0,Paid
receipt-221,520,2025-03-15,CUST-211,1,1.0,39.0,Receipt,39.0,0.0,Paid
receipt-196,521,2025-03-14,CUST-186,4,1.0,,Missing,,,Unknown
receipt-87,522,2025-03-14,CUST-081,4,1.0,,Missing,,,Unknown
receipt-89,523,2025-03-14,CUST-083,4,1.0,,Missing,,,Unknown
receipt-207,526,2025-03-14,CUST-197,1,1.0,42.0,Receipt,42.0,0.0,Paid
receipt-200,527,2025-03-15,CUST-190,1,1.0,1.5,Receipt,1.5,0.0,Paid
receipt-197,528,2025-03-15,CUST-187,1,1.0,42.0,Receipt,42.0,0.0,Paid
receipt-212,529,2025-03-15,CUST-202,1,1.0,35.0,Receipt,35.0,0.0,Paid
receipt-202,530,,CUST-192,1,1.0,,Missing,,,Unknown
receipt-222,531,2025-03-15,CUST-212,1,1.0,2.0,Receipt,2.0,0.0,Paid
receipt-220,532,2025-03-15,CUST-210,1,2.0,59.0,Receipt,59.0,0.0,Paid
receipt-203,533,2025-03-16,CUST-193,1,1.0,29.0,Receipt,29.0,0.0,Paid
receipt-205,534,2025-03-16,CUST-195,4,4.0,151.0,Receipt,151.0,0.0,Paid
receipt-206,536,2025-03-18,CUST-196,1,1.0,38.0,Receipt,38.0,0.0,Paid
receipt-208,537,2025-03-18,CUST-198,1,1.0,29.0,Receipt,15.0,14.0,Partially Paid
receipt-215,538,2025-03-18,CUST-205,1,1.0,39.0,Receipt,39.0,0.0,Paid
receipt-217,539,2025-03-19,CUST-207,1,1.0,38.0,Receipt,38.0,0.0,Paid
receipt-210,540,2025-03-19,CUST-200,1,1.0,,Missing,,,Unknown
receipt-211,541,2025-03-19,CUST-201,1,1.0,,Missing,,,Unknown
receipt-213,542,2025-03-19,CUST-203,1,1.0,35.0,Receipt,35.0,0.0,Paid
receipt-214,543,2025-03-19,CUST-204,3,4.0,51.0,Receipt,51.0,0.0,Paid
receipt-223,544,2025-03-19,CUST-213,1,1.0,39.0,Receipt,39.0,0.0,Paid
receipt-225,545,2025-03-20,CUST-215,1,1.0,1.0,Receipt,1.0,0.0,Paid
receipt-216,546,2025-03-20,CUST-206,1,1.0,,Missing,,,Unknown
receipt-218,547,2025-03-20,CUST-208,1,1.0,,Missing,,,Unknown
receipt-219,548,2025-03-20,CUST-209,1,1.0,,Missing,,,Unknown
receipt-224,550,2025-03-20,CUST-214,1,1.0,39.0,Receipt,39.0,0.0,Paid
receipt-1,551,2025-03-20,CUST-001,1,1.0,40.0,Receipt,40.0,0.0,Paid
receipt-2,552,2025-03-20,CUST-002,1,1.0,39.0,Receipt,39.0,0.0,Paid
receipt-3,553,2025-03-21,CUST-003,1,1.0,1.5,Receipt,1.5,0.0,Paid
receipt-4,554,2025-03-21,CUST-004,1,1.0,39.0,Receipt,39.0,0.0,Paid
receipt-5,555,2025-03-22,CUST-005,1,1.0,,Missing,,,Unknown
receipt-6,556,2025-03-22,CUST-006,1,1.0,,Missing,,,Unknown
receipt-7,557,2025-03-22,CUST-007,2,3.0,120.0,Receipt,120.0,0.0,Paid
receipt-8,558,2025-03-22,CUST-008,1,1.0,38.0,Receipt,38.0,0.0,Paid
receipt-9,559,2025-03-22,CUST-009,1,1.0,2.0,Receipt,2.0,0.0,Paid
receipt-10,560,2025-03-22,CUST-010,1,1.0,38.0,Receipt,38.0,0.0,Paid
receipt-11,561,2025-03-23,CUST-011,1,1.0,39.0,Receipt,39.0,0.0,Paid
receipt-12,562,2025-03-24,CUST-012,1,1.0,2.0,Receipt,2.0,0.0,Paid
receipt-13,563,2025-03-24,CUST-013,1,1.0,1.5,Receipt,1.5,0.0,Paid
receipt-14,564,2025-03-25,CUST-014,1,1.0,,Missing,,,Unknown
receipt-15,565,2025-03-26,CUST-015,2,2.0,,Missing,,,Unknown
receipt-16,566,2025-03-26,CUST-016,1,1.0,39.0,Receipt,39.0,0.0,Paid
