image_key,receipt_id,line_number,transaction_date,customer_id,transaction_type,brand_clean,model_number,description_raw,product_category,color,quantity,unit_price_bhd,line_total_clean,receipt_total_bhd,payment_status,alteration_required,alteration_details
receipt-1,551,1,2025-03-20,CUST-001,Product Sale,Unknown,,Cake Dress Sale,Abaya,Unknown,1,40.0,40.0,40.0,Partially Paid,Unknown,
receipt-2,552,1,2025-03-20,CUST-002,Product Sale,Unknown,,Farasha Sale,Abaya,Unknown,1,39.0,39.0,39.0,Paid,Unknown,
receipt-3,553,1,2025-03-21,CUST-003,Alteration,Unknown,,Alteration,Alteration,Unknown,1,1.5,1.5,1.5,Paid,Yes,Alteration
receipt-4,554,1,2025-03-21,CUST-004,Product Sale,Blazar,,Blazar Abaya Sale,Abaya,Unknown,1,39.0,39.0,39.0,Paid,Unknown,
receipt-5,555,1,2025-03-22,CUST-005,Product Sale,Unknown,,Maroon crepe abaya,Abaya,Maroon,1,,,,Balance Due,Unknown,
receipt-6,556,1,2025-03-22,CUST-006,Product Sale,Unknown,,White crepe dress,Dress,White,1,,,,Balance Due,Unknown,
receipt-7,557,1,2025-03-22,CUST-007,Product Sale,Unknown,,Navy blue dress,Dress,Navy blue,2,40.0,80.0,120.0,Partially Paid,Unknown,
receipt-7,557,2,2025-03-22,CUST-007,Product Sale,Unknown,,Dark maroon dress,Dress,Dark maroon,1,40.0,40.0,120.0,Partially Paid,Unknown,
receipt-8,558,1,2025-03-22,CUST-008,Product Sale,Unknown,,Green dress,Dress,Green,1,38.0,38.0,38.0,Paid,Unknown,
receipt-9,559,1,2025-03-22,CUST-009,Alteration,Unknown,,Alteration,Alteration,Unknown,1,2.0,2.0,2.0,Paid,Yes,Alteration
receipt-10,560,1,2025-03-22,CUST-010,Product Sale,Unknown,,Cake Dress Sale,Dress,Unknown,1,38.0,38.0,38.0,Paid,Unknown,
receipt-11,561,1,2025-03-23,CUST-011,Product Sale,Farasha,,Farasha Sale,Abaya,Unknown,1,39.0,39.0,39.0,Paid,Unknown,
receipt-12,562,1,2025-03-24,CUST-012,Alteration,Unknown,,Alteration,Alteration,Unknown,1,2.0,2.0,2.0,Paid,Yes,Alteration
receipt-13,563,1,2025-03-24,CUST-013,Alteration,Unknown,,Alteration,Alteration,Unknown,1,1.5,1.5,1.5,Paid,Yes,Alteration
